Altium Designer Pick and Place Locations
C:\Users\Sam Cassisi\volta-electronics-single-port\Project Outputs for Volta_P0_Single_Port\Pick Place for PCB.csv

========================================================================================================================
File Design Information:

Date:       09/08/23
Time:       17:20
Revision:   51216de7b9183a2c24a5760536f8bc67d05ebefc
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Footprint Description","Center-X(mm)","Center-Y(mm)","Rotation","Description","ComponentKind","Height(mm)"
"Q10","2N7002","BottomLayer","SOT95P240X111-3N","","67.6554","24.7650","180","N-Channel 60V 280mA (Ta) 350mW (Ta) Surface Mount SOT-23-3 (TO-236)","Standard","0.0000"
"Q9","BSS84","BottomLayer","SOT95P240X120-3N","","63.1800","28.8720","360","BSS84 Series 50 V 10 Ohms P-Ch Enhancement Mode Field Effect Transistor SOT-23-3","Standard","0.0000"
"C85","3300 pF","BottomLayer","CAP_0402_1005","Chip Capacitor, 2-Leads, Body 1.02x0.51mm, IPC Medium Density","68.9610","28.8131","270","CAP CER 3300PF 16V X7R 0402","Standard","0.5200"
"C84","0.1 µF","BottomLayer","CAP_0603_1608","Chip Capacitor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","80.7720","27.1077","180","CAP CER 0.1UF 50V X7R 0603","Standard","0.8900"
"C83","0.1 µF","BottomLayer","CAP_0603_1608","Chip Capacitor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","80.7720","25.3475","180","CAP CER 0.1UF 50V X7R 0603","Standard","0.8900"
"C82","0.1 µF","BottomLayer","CAP_0402_1005","Chip Capacitor, 2-Leads, Body 1.02x0.51mm, IPC Medium Density","68.6308","27.0186","360","CAP CER 0.1UF 10V X5R 0402","Standard","0.5200"
"C81","0.1 µF","BottomLayer","CAP_0603_1608","Chip Capacitor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","78.3590","26.2187","270","CAP CER 0.1UF 50V X7R 0603","Standard","0.8900"
"C49","1 µF","BottomLayer","CAP_0402_1005","Chip Capacitor, 2-Leads, Body 1.02x0.51mm, IPC Medium Density","70.8961","29.0731","270","CAP CER 1UF 10V X5R 0402","Standard","0.5200"
"U10","BQ34Z100PW-G1","BottomLayer","SOP65P640X120-14N","","73.7661","25.2393","360","","Standard","0.0000"
"R8","5 MOhms","TopLayer","RES_0603_1608","Chip Resistor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","54.2036","30.6874","180","RES SMD 5M OHM 1% 1/10W 0603","Standard","0.4500"
"J11","C2982481","TopLayer","GT-USB-7079A","","15.1508","19.3408","270","5A 1 Surface Mount 16 Female -55?~+85? Type-C SMD USB Connectors ROHS C2982481","Standard","0.0000"
"D14","BZT52B3V3S_R9","TopLayer","DIO_BZT52B3V3S_R9","","54.5846","28.9560","360","","Standard","0.0000"
"C48","4700 pF","TopLayer","CAP_0402_1005","Chip Capacitor, 2-Leads, Body 1.02x0.51mm, IPC Medium Density","51.7652","26.8224","90","CAP CER 4700PF 50V X7R 0402","Standard","0.5200"
"C44","4700 pF","TopLayer","CAP_0402_1005","Chip Capacitor, 2-Leads, Body 1.02x0.51mm, IPC Medium Density","52.9536","26.8250","90","CAP CER 4700PF 50V X7R 0402","Standard","0.5200"
"C30","10 µF","TopLayer","CAP_0402_1005","Chip Capacitor, 2-Leads, Body 1.02x0.51mm, IPC Medium Density","23.6185","17.5967","270","CAP CER 10UF 10V X5R 0402","Standard","0.5200"
"U9","ESD122DMXR","TopLayer","IC_ESD122DMXR","","20.7264","21.2646","0","2-channel ESD protection diode for USB Type-C and HDMI 2.0 3-X2SON -40 to 125","Standard","0.0000"
"C24","4.7 µF","TopLayer","CAP_0603_1608","Chip Capacitor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","26.4668","25.7830","360","CAP CER 4.7UF 35V X5R 0603","Standard","0.8900"
"Q4","AONS36306","TopLayer","DFN_5x6","","132.2050","20.9336","270","30V N-Channel MOSFET","Standard","0.0000"
"Q3","AONS36306","TopLayer","DFN_5x6","","132.8850","27.2236","180","30V N-Channel MOSFET","Standard","0.0000"
"Q2","AONS36306","TopLayer","DFN_5x6","","109.8250","27.2250","0","30V N-Channel MOSFET","Standard","0.0000"
"Q1","AONS36306","TopLayer","DFN_5x6","","110.5200","20.9250","270","30V N-Channel MOSFET","Standard","0.0000"
"R72","0 Ohms","TopLayer","RES_0603_1608","Chip Resistor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","39.3700","24.6208","270","RES SMD 0 OHM JUMPER 1/3W 0603","Standard","0.4500"
"R71","0 Ohms","TopLayer","RES_0402_1005","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density","31.5215","20.1676","180","RES SMD 0 OHM JUMPER 1/5W 0402","Standard","0.4000"
"R70","0 Ohms","TopLayer","RES_0402_1005","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density","31.5214","21.2090","180","RES SMD 0 OHM JUMPER 1/5W 0402","Standard","0.4000"
"R69","0 Ohms","TopLayer","RES_0402_1005","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density","73.3298","13.2334","360","RES SMD 0 OHM JUMPER 1/5W 0402","Standard","0.4000"
"R68","0 Ohms","TopLayer","RES_0402_1005","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density","70.8152","13.6906","360","RES SMD 0 OHM JUMPER 1/5W 0402","Standard","0.4000"
"U3","TPS25750DRJKR","TopLayer","IC_TPS25750DRJKR","","27.8798","19.0544","90","USB, Type-C Controller PMIC 38-WQFN (4x6)","Standard","0.0000"
"U1","STM32F030F4P6","TopLayer","TSOP65P640X120-20N","TSOP, 20-Leads, Body 6.50x4.40mm, Pitch 0.65mm, IPC Medium Density","47.5648","24.3114","90","Value-line Arm-based 32-bit MCU with up to 256 KB Flash, timers, ADC, communication interfaces, 2.4-3.6 V operation - TSSOP20 20-pin","Standard","1.2000"
"U8","CSD87330Q3D","TopLayer","Q3D","Q3D","73.0228","20.1250","270","Synchronous Buck NexFET™ Power Block","Standard","0.0000"
"U6","CSD87330Q3D","TopLayer","Q3D","Q3D","83.1750","19.5342","90","Synchronous Buck NexFET™ Power Block","Standard","0.0000"
"D3","White","BottomLayer","LED_0805_2012","Chip Diode, 2-Leads, Body 2.00x1.25mm, IPC Medium Density","23.5220","20.0880","360","0805 LED WHITE, YELLOW DIFFUSED","Standard","0.7000"
"U7","TPS51225RUKR","TopLayer","QFN40P300X300X80-21N","","77.8250","15.3500","90","","Standard","0.0000"
"U5","CAT24C256WI-G","TopLayer","SOIC127P600X175-8N","","36.1750","28.7750","360","EEPROM Memory IC 256Kb (32K x 8) IÂ²C 1MHz 500ns 8-SOIC","Standard","0.0000"
"U4","TVS2200DRVR","TopLayer","SON65P200X200X80-7N","","25.9500","23.9000","360","","Standard","0.0000"
"R63","10 kOhms","TopLayer","RES_0402_1005","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density","76.2276","11.9979","270","RES 10K OHM 5% 1/16W 0402","Standard","0.4000"
"R62","15.4 kOhms","TopLayer","RES_0402_1005","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density","75.0846","11.9982","270","RES 15.4K OHM 1% 1/16W 0402","Standard","0.4000"
"R61","10 kOhms","TopLayer","RES_0402_1005","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density","78.2250","12.1467","180","RES 10K OHM 5% 1/16W 0402","Standard","0.4000"
"R60","2.2 Ohms","TopLayer","RES_0402_1005","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density","81.3054","15.6928","360","RES 2.2 OHM 5% 1/16W 0402","Standard","0.4000"
"R59","6.49 kOhms","TopLayer","RES_0402_1005","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density","81.2162","12.1467","360","RES 6.49K OHM 1% 1/16W 0402","Standard","0.4000"
"R58","2.2 Ohms","TopLayer","RES_0402_1005","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density","74.4550","15.3640","180","RES 2.2 OHM 5% 1/16W 0402","Standard","0.4000"
"R57","51.1 kOhms","TopLayer","RES_0402_1005","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density","74.4474","14.2318","360","RES SMD 51.1K OHM 1% 1/16W 0402","Standard","0.4000"
"R56","47.5 kOhms","TopLayer","RES_0402_1005","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density","81.2105","13.3419","180","RES 47.5K OHM 1% 1/16W 0402","Standard","0.4000"
"R55","10 kOhms","TopLayer","RES_0402_1005","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density","41.2750","29.4000","360","RES 10K OHM 5% 1/16W 0402","Standard","0.4000"
"R54","10 kOhms","TopLayer","RES_0402_1005","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density","31.0500","28.1500","180","RES 10K OHM 5% 1/16W 0402","Standard","0.4000"
"R53","10 kOhms","TopLayer","RES_0402_1005","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density","31.0500","29.4000","180","RES 10K OHM 5% 1/16W 0402","Standard","0.4000"
"R52","10 kOhms","TopLayer","RES_0402_1005","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density","31.0500","30.6800","180","RES 10K OHM 5% 1/16W 0402","Standard","0.4000"
"R51","0 Ohms","TopLayer","RES_0402_1005","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density","23.8972","20.6746","180","RES SMD 0 OHM JUMPER 1/5W 0402","Standard","0.4000"
"R49","0 Ohms","TopLayer","RES_0402_1005","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density","23.8972","21.8250","180","RES SMD 0 OHM JUMPER 1/5W 0402","Standard","0.4000"
"R47","100 kOhms","TopLayer","RES_0402_1005","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density","28.0750","14.0970","90","RES SMD 100K OHM 1% 1/16W 0402","Standard","0.4000"
"R46","100 kOhms","TopLayer","RES_0402_1005","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density","26.8732","14.0970","90","RES SMD 100K OHM 1% 1/16W 0402","Standard","0.4000"
"R45","10 kOhms","TopLayer","RES_0402_1005","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density","31.6554","22.9962","90","RES 10K OHM 5% 1/16W 0402","Standard","0.4000"
"R44","2.2 kOhms","TopLayer","RES_0402_1005","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density","33.9598","24.5618","90","RES 2.2K OHM 1% 1/16W 0402","Standard","0.4000"
"R43","2.2 kOhms","TopLayer","RES_0402_1005","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density","42.2402","26.2437","270","RES 2.2K OHM 1% 1/16W 0402","Standard","0.4000"
"R42","10 kOhms","TopLayer","RES_0402_1005","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density","32.1822","16.4890","360","RES 10K OHM 5% 1/16W 0402","Standard","0.4000"
"R41","2.2 kOhms","TopLayer","RES_0402_1005","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density","44.9750","29.8750","90","RES 2.2K OHM 1% 1/16W 0402","Standard","0.4000"
"R40","2.2 kOhms","TopLayer","RES_0402_1005","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density","46.1000","29.8750","90","RES 2.2K OHM 1% 1/16W 0402","Standard","0.4000"
"L3","744314330","TopLayer","IND_744314330","","69.7750","27.6092","180","Inductor SMD 7050 3.3µH 9 A Wuerth Elektronik WE-HCI 744314330 1 pc(s)","Standard","0.0000"
"C80","100 µF","TopLayer","CAP_POL_1411_3528","Molded Capacitor, 2-Leads, Body 3.50x2.80mm, IPC Medium Density","62.8750","21.0442","270","CAP TANT 100UF 20% 10V 1411","Standard","2.0000"
"C79","100 µF","TopLayer","CAP_POL_1411_3528","Molded Capacitor, 2-Leads, Body 3.50x2.80mm, IPC Medium Density","66.1000","21.0442","270","CAP TANT 100UF 20% 10V 1411","Standard","2.0000"
"C78","100 µF","TopLayer","CAP_POL_1411_3528","Molded Capacitor, 2-Leads, Body 3.50x2.80mm, IPC Medium Density","69.3250","21.0442","270","CAP TANT 100UF 20% 10V 1411","Standard","2.0000"
"C77","22 µF","TopLayer","CAP_0805_2012","Chip Capacitor, 2-Leads, Body 2.00x1.20mm, IPC Medium Density","71.1770","17.2000","360","CAP CER 22UF 35V X5R 0805","Standard","1.1500"
"C76","22 µF","TopLayer","CAP_0805_2012","Chip Capacitor, 2-Leads, Body 2.00x1.20mm, IPC Medium Density","71.1770","15.3250","360","CAP CER 22UF 35V X5R 0805","Standard","1.1500"
"C75","0.1 µF","TopLayer","CAP_0402_1005","Chip Capacitor, 2-Leads, Body 1.02x0.51mm, IPC Medium Density","81.4705","16.8701","360","CAP CER 0.1UF 6.3V X5R 0402","Standard","0.5200"
"C74","100 µF","TopLayer","CAP_POL_1411_3528","Molded Capacitor, 2-Leads, Body 3.50x2.80mm, IPC Medium Density","87.1220","17.9810","90","CAP TANT 100UF 20% 10V 1411","Standard","2.0000"
"C73","100 µF","TopLayer","CAP_POL_1411_3528","Molded Capacitor, 2-Leads, Body 3.50x2.80mm, IPC Medium Density","90.4039","17.9810","90","CAP TANT 100UF 20% 10V 1411","Standard","2.0000"
"C72","100 µF","TopLayer","CAP_POL_1411_3528","Molded Capacitor, 2-Leads, Body 3.50x2.80mm, IPC Medium Density","93.7230","17.9578","90","CAP TANT 100UF 20% 10V 1411","Standard","2.0000"
"C71","22 µF","TopLayer","CAP_0805_2012","Chip Capacitor, 2-Leads, Body 2.00x1.20mm, IPC Medium Density","83.0375","25.0000","360","CAP CER 22UF 35V X5R 0805","Standard","1.1500"
"C70","22 µF","TopLayer","CAP_0805_2012","Chip Capacitor, 2-Leads, Body 2.00x1.20mm, IPC Medium Density","83.0250","23.0250","360","CAP CER 22UF 35V X5R 0805","Standard","1.1500"
"C69","0.1 µF","TopLayer","CAP_0402_1005","Chip Capacitor, 2-Leads, Body 1.02x0.51mm, IPC Medium Density","74.5978","16.5592","180","CAP CER 0.1UF 6.3V X5R 0402","Standard","0.5200"
"C68","4.7 µF","TopLayer","CAP_0402_1005","Chip Capacitor, 2-Leads, Body 1.02x0.51mm, IPC Medium Density","81.3375","14.5244","180","CAP CER 4.7UF 16V X5R 0402","Standard","0.5200"
"C67","4.7 µF","TopLayer","CAP_0402_1005","Chip Capacitor, 2-Leads, Body 1.02x0.51mm, IPC Medium Density","77.8250","18.6116","270","CAP CER 4.7UF 16V X5R 0402","Standard","0.5200"
"C66","0.1 µF","TopLayer","CAP_0402_1005","Chip Capacitor, 2-Leads, Body 1.02x0.51mm, IPC Medium Density","41.1000","30.6750","180","CAP CER 0.1UF 6.3V X5R 0402","Standard","0.5200"
"C65","10 µF","TopLayer","CAP_0402_1005","Chip Capacitor, 2-Leads, Body 1.02x0.51mm, IPC Medium Density","24.6888","15.1384","270","CAP CER 10UF 10V X5R 0402","Standard","0.5200"
"C64","10000 pF","TopLayer","CAP_0402_1005","Chip Capacitor, 2-Leads, Body 1.02x0.51mm, IPC Medium Density","18.8976","24.1808","270","CAP CER 10000PF 35V X7R 0402","Standard","0.5200"
"C63","10000 pF","TopLayer","CAP_0402_1005","Chip Capacitor, 2-Leads, Body 1.02x0.51mm, IPC Medium Density","18.8976","22.2504","90","CAP CER 10000PF 35V X7R 0402","Standard","0.5200"
"C62","10000 pF","TopLayer","CAP_0402_1005","Chip Capacitor, 2-Leads, Body 1.02x0.51mm, IPC Medium Density","18.7706","17.0544","270","CAP CER 10000PF 35V X7R 0402","Standard","0.5200"
"C61","10000 pF","TopLayer","CAP_0402_1005","Chip Capacitor, 2-Leads, Body 1.02x0.51mm, IPC Medium Density","18.7747","15.1638","90","CAP CER 10000PF 35V X7R 0402","Standard","0.5200"
"C60","0.1 µF","TopLayer","CAP_0402_1005","Chip Capacitor, 2-Leads, Body 1.02x0.51mm, IPC Medium Density","29.3750","23.2050","360","CAP CER 0.1UF 6.3V X5R 0402","Standard","0.5200"
"C59","22 µF","TopLayer","CAP_0805_2012","Chip Capacitor, 2-Leads, Body 2.00x1.20mm, IPC Medium Density","29.3784","26.7050","180","CAP CER 22UF 35V X5R 0805","Standard","1.1500"
"C58","22 µF","TopLayer","CAP_0805_2012","Chip Capacitor, 2-Leads, Body 2.00x1.20mm, IPC Medium Density","29.3784","24.7550","180","CAP CER 22UF 35V X5R 0805","Standard","1.1500"
"C57","220 pF","TopLayer","CAP_0402_1005","Chip Capacitor, 2-Leads, Body 1.02x0.51mm, IPC Medium Density","22.5000","17.8782","270","CAP CER 220PF 16V X7R 0402","Standard","0.5200"
"C56","220 pF","TopLayer","CAP_0402_1005","Chip Capacitor, 2-Leads, Body 1.02x0.51mm, IPC Medium Density","22.5000","19.7000","90","CAP CER 220PF 16V X7R 0402","Standard","0.5200"
"C55","10 µF","TopLayer","CAP_0402_1005","Chip Capacitor, 2-Leads, Body 1.02x0.51mm, IPC Medium Density","25.7556","14.0126","90","CAP CER 10UF 10V X5R 0402","Standard","0.5200"
"C54","10 µF","TopLayer","CAP_0402_1005","Chip Capacitor, 2-Leads, Body 1.02x0.51mm, IPC Medium Density","31.1658","13.1250","180","CAP CER 10UF 10V X5R 0402","Standard","0.5200"
"R9","2.2 kOhms","TopLayer","RES_0402_1005","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density","47.6778","12.7133","270","RES 2.2K OHM 0.1% 1/10W 0402","Standard","0.4000"
"C13","1 µF","TopLayer","CAP_0402_1005","Chip Capacitor, 2-Leads, Body 1.02x0.51mm, IPC Medium Density","124.8250","14.7766","360","CAP CER 1UF 16V X5R 0402","Standard","0.5200"
"R30","191 kOhms","TopLayer","RES_0402_1005","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density","116.0898","11.0270","360","RES SMD 191K OHM 1% 1/10W 0402","Standard","0.4000"
"R29","30.1 kOhms","TopLayer","RES_0402_1005","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density","108.3611","12.2750","180","RES 30.1K OHM 1% 1/16W 0402","Standard","0.4000"
"R25","220 kOhms","TopLayer","RES_0402_1005","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density","111.6522","10.9334","360","RES 220K OHM 1% 1/16W 0402","Standard","0.4000"
"R23","383 kOhms","TopLayer","RES_0402_1005","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density","113.7000","11.5000","90","RES SMD 383K OHM 1% 1/10W 0402","Standard","0.4000"
"R22","10 kOhms","TopLayer","RES_0402_1005","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density","107.2250","11.0750","180","RES 10K OHM 5% 1/16W 0402","Standard","0.4000"
"R21","10 kOhms","TopLayer","RES_0402_1005","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density","107.2250","14.6750","180","RES 10K OHM 5% 1/16W 0402","Standard","0.4000"
"R20","10 kOhms","TopLayer","RES_0402_1005","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density","107.2250","13.4750","180","RES 10K OHM 5% 1/16W 0402","Standard","0.4000"
"R17","10 kOhms","TopLayer","RES_0402_1005","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density","125.4500","12.1246","180","RES 10K OHM 5% 1/16W 0402","Standard","0.4000"
"R16","2 MOhms","TopLayer","RES_0402_1005","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density","124.3000","11.0500","360","RES 2M OHM 5% 1/16W 0402","Standard","0.4000"
"R15","300 kOhms","TopLayer","RES_0402_1005","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density","121.8000","11.0500","360","RES 300K OHM 1% 1/16W 0402","Standard","0.4000"
"C38","150 pF","TopLayer","CAP_0603_1608","Chip Capacitor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","105.6500","26.1000","270","CAP CER 150PF 50V C0G/NPO 0603","Standard","0.8900"
"C19","0.47 µF","TopLayer","CAP_0805_2012","Chip Capacitor, 2-Leads, Body 2.00x1.20mm, IPC Medium Density","115.4000","16.6116","90","CAP CER 0.47UF 50V X7R 0805","Standard","1.1500"
"LP1","LIGHT PIPE","BottomLayer","Dialight_515-1069F","","0.0000","0.0000","270","Light Pipe Dialight 515-1069F","Standard","0.0000"
"R6","0 Ohms","TopLayer","RES_0402_1005","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density","43.3578","22.9870","270","RES SMD 0 OHM JUMPER 1/5W 0402","Standard","0.4000"
"R2","0 Ohms","TopLayer","RES_0402_1005","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density","32.1818","14.2494","360","RES SMD 0 OHM JUMPER 1/5W 0402","Standard","0.4000"
"R1","0 Ohms","TopLayer","RES_0402_1005","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density","52.4002","21.3556","180","RES SMD 0 OHM JUMPER 1/5W 0402","Standard","0.4000"
"C46","10 µF","TopLayer","CAP_0805_2012","Chip Capacitor, 2-Leads, Body 2.00x1.20mm, IPC Medium Density","138.9015","15.2480","90","CAP CER 10UF 50V X5R 0805","Standard","1.1500"
"R5","22 Ohms","TopLayer","RES_1206_3216","Chip Resistor, 2-Leads, Body 3.13x1.55mm, IPC Medium Density","25.6271","29.1846","90","RES SMD 22 OHM 0.5% 1W 1206","Standard","0.7000"
"R4","22 Ohms","TopLayer","RES_1206_3216","Chip Resistor, 2-Leads, Body 3.13x1.55mm, IPC Medium Density","23.3066","29.1986","90","RES SMD 22 OHM 0.5% 1W 1206","Standard","0.7000"
"R3","22 Ohms","TopLayer","RES_1206_3216","Chip Resistor, 2-Leads, Body 3.13x1.55mm, IPC Medium Density","24.6400","11.4750","360","RES SMD 22 OHM 0.5% 1W 1206","Standard","0.7000"
"R7","100 kOhms","TopLayer","RES_0603_1608","Chip Resistor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","42.9768","13.2588","270","RES 100K OHM 0.1% 1/16W 0603","Standard","0.4500"
"R12","0 Ohms","TopLayer","RES_0402_1005","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density","43.6500","15.9420","360","RES SMD 0 OHM JUMPER 1/5W 0402","Standard","0.4000"
"U2","BQ25731RSNR","TopLayer","QFN40P400X400X80_HS-33N","QFN, 32-Leads, Body 4.00x4.00mm, Pitch 0.40mm, Thermal Pad 3.00x3.00mm, IPC Medium Density","121.3750","14.4750","360","I2C 1- to 5-Cell Buck-Boost Battery Charge Controller with USB-C PD 3.0 OTG Output","Standard","0.8000"
"R33","4.99 Ohms","TopLayer","RES_0603_1608","Chip Resistor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","102.9750","18.7178","90","RES 4.99 OHM 1% 1/10W 0603","Standard","0.4500"
"R32","4.99 Ohms","TopLayer","RES_0603_1608","Chip Resistor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","101.4250","18.7178","90","RES 4.99 OHM 1% 1/10W 0603","Standard","0.4500"
"R31","5 mOhms","TopLayer","RES_1206_3216","Chip Resistor, 2-Leads, Body 3.13x1.55mm, IPC Medium Density","102.2000","21.2928","360","RES 0.005 OHM 5% 1W 1206","Standard","0.7000"
"R27","10 Ohms","TopLayer","RES_0603_1608","Chip Resistor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","146.7374","12.5750","90","RES SMD 10 OHM 1% 1/10W 0603","Standard","0.4500"
"R26","10 Ohms","TopLayer","RES_0603_1608","Chip Resistor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","145.1374","12.5750","90","RES SMD 10 OHM 1% 1/10W 0603","Standard","0.4500"
"R24","5 mOhms","TopLayer","RES_1206_3216","Chip Resistor, 2-Leads, Body 3.13x1.55mm, IPC Medium Density","145.9374","16.7250","360","RES 0.005 OHM 5% 1W 1206","Standard","0.7000"
"R28","10 Ohms","TopLayer","RES_0603_1608","Chip Resistor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","120.9514","18.6393","90","RES SMD 10 OHM 1% 1/10W 0603","Standard","0.4500"
"R19","15 kOhms","TopLayer","RES_0402_1005","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density","127.1100","14.6882","180","RES 15K OHM 1% 1/16W 0402","Standard","0.4000"
"R18","40.2 kOhms","TopLayer","RES_0402_1005","Chip Resistor, 2-Leads, Body 1.0x0.5mm, IPC Medium Density","127.1150","13.4646","180","RES 40.2K OHM 1% 1/16W 0402","Standard","0.4000"
"L1","4.7uH","TopLayer","BMQADY1010404R7MA1","","121.3866","26.3144","360","BMQADY1010404R7MA1","Standard","0.0000"
